ID	Rt	Mz	QC1-NEG	QC2-NEG	QC3-NEG	QC4-NEG	QC5-NEG	VA1EE1-NEG	VA1EE2-NEG	VA1EE3-NEG	VA1EM1-NEG	VA1EM2-NEG	VA1EM3-NEG	VB1EE1-NEG	VB1EE2-NEG	VB1EE3-NEG	VB1EM1-NEG	VB1EM2-NEG	VB1EM3-NEG	VC1EE1-NEG	VC1EE2-NEG	VC1EE3-NEG	VC1EM1-NEG	VC1EM2-NEG	VC1EM3-NEG	BLK	MIX	QC	VAEE	VAEM	VBEE	VBEM	VCEE	VCEM
0	4.46	120.0204	36400	28900	35100	51300	58700	0	0	7412	6035	0	8957	0	6181	5793	0	0	7482	153136	174504	118858	68855	61889	123563	0	20826	42069	2471	4997	3991	2494	148833	84769
1	0.62	120.0369	193000	403000	249000	294000	167000	24800	67800	97250	0	0	72819	418846	460156	482715	500877	244086	303259	50757	303599	119043	0	10342	0	0	0	261583	63276	24273	453906	349407	157799	3447
4	5.95	120.0526	0	0	0	0	1240	0	5090	7588	7816	5900	0	8133	0	0	0	0	0	0	0	0	0	0	0	0	4050255	248	4225	4572	2711	0	0	0
7	4.45	120.9857	132000	131000	131000	126000	169000	8390	7250	18252	5558	0	0	8131	16658	0	14262	0	15769	562665	717522	466815	395633	330115	367285	5307	134735	137660	11294	1853	8263	10010	582334	364344
9	4.45	121.0283	119000000	120000000	123000000	129000000	140000000	19000000	18900000	23536762	6847036	10979653	12817648	19959688	20832562	18413606	21154746	7900228	22967952	470974688	596312704	407177344	302192800	261299424	302007744	493208	112913032	126191304	20473879	10214779	19735285	17340975	491488245	288499989
10	11.21	121.0284	751000	522000	892000	671000	551000	495000	466000	535144	529770	623768	691725	504141	428195	389624	652172	540725	493177	782730	814518	711172	996809	1088831	572976	383062	1280694	677525	498520	615088	440653	562025	769473	886205
11	11.28	121.0284	740000	521000	889000	646000	503000	497000	483000	500212	468888	606728	654770	501772	418228	355638	667053	519217	513168	769991	837646	676034	981986	1071778	942891	374048	1291448	659833	493134	576795	425212	566479	761224	998885
12	0.17	121.0284	735000	469000	1400000	859000	517000	618000	526000	1137561	650916	570561	651186	784689	632534	515936	885783	592992	644484	912589	798914	1079437	606177	1220290	1048971	698536	559340	795801	760392	624221	644386	707753	930314	958479
13	5.28	121.0284	1720000	1530000	1940000	3000000	2740000	800000	815000	842197	632174	726179	791641	765815	627400	577444	1221194	654707	1139944	6222505	6499877	5704325	3747142	3625683	3907530	459205	3202509	2187611	818868	716665	656886	1005281	6142236	3760118
14	1.36	121.0285	1220000	1100000	1820000	1290000	1150000	1520000	1510000	1600612	535904	575217	648560	722917	665853	491853	938932	618345	602311	800803	857497	930717	8707582	6948893	8082933	500062	2462721	1319242	1544240	586561	626874	719863	863006	7913136
15	4.45	121.0716	155000	150000	109000	140000	141000	13700	8550	18884	0	0	0	11767	7776	8578	10271	6363	7412	572742	756086	492615	346473	320972	340539	2179	147704	139135	13708	0	9374	8015	607148	335995
